cn_identifier,CanonicalName,DistinguishedName,ObjectClass
,h4n0sh1.org/,"DC=h4n0sh1,DC=org",domainDNS
Builtin,h4n0sh1.org/Builtin,"CN=Builtin,DC=h4n0sh1,DC=org",builtinDomain
Builtin/Access Control Assistance Operators,h4n0sh1.org/Builtin/Access Control Assistance Operators,"CN=Access Control Assistance Operators,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Account Operators,h4n0sh1.org/Builtin/Account Operators,"CN=Account Operators,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Administrators,h4n0sh1.org/Builtin/Administrators,"CN=Administrators,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Backup Operators,h4n0sh1.org/Builtin/Backup Operators,"CN=Backup Operators,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Certificate Service DCOM Access,h4n0sh1.org/Builtin/Certificate Service DCOM Access,"CN=Certificate Service DCOM Access,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Cryptographic Operators,h4n0sh1.org/Builtin/Cryptographic Operators,"CN=Cryptographic Operators,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Distributed COM Users,h4n0sh1.org/Builtin/Distributed COM Users,"CN=Distributed COM Users,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Event Log Readers,h4n0sh1.org/Builtin/Event Log Readers,"CN=Event Log Readers,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Guests,h4n0sh1.org/Builtin/Guests,"CN=Guests,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Hyper-V Administrators,h4n0sh1.org/Builtin/Hyper-V Administrators,"CN=Hyper-V Administrators,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/IIS_IUSRS,h4n0sh1.org/Builtin/IIS_IUSRS,"CN=IIS_IUSRS,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Incoming Forest Trust Builders,h4n0sh1.org/Builtin/Incoming Forest Trust Builders,"CN=Incoming Forest Trust Builders,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Network Configuration Operators,h4n0sh1.org/Builtin/Network Configuration Operators,"CN=Network Configuration Operators,CN=Builtin,DC=h4n0sh1,DC=org",group
Builtin/Performance Log Users,h4n0sh1.org/Builtin/Performance Log Users,"CN=Performance Log Users,CN=Builtin,DC=h4n0sh1,DC=org",group
